league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Ligue 1,FC Lorient,22/23,summer,Vito Mannone,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€500k,AS Monaco,True,€200k,1,2.305,3.133,-0.8,0.106,0.0,-0.133
Ligue 1,FC Lorient,22/23,summer,Yvon Mvogo,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€2.8m,RB Leipzig,False,,3,5.985,5.905,,-0.058,,0.138
Ligue 1,FC Lorient,22/23,summer,Siriné Doucouré,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,,€450k,1175,True,,2,0.844,0.774,,-0.227,,0.296
Ligue 1,FC Lorient,22/23,summer,Théo Le Bris,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€400k,16662,False,,3,5.757,3.9,,-0.248,,2.105
Ligue 1,FC Lorient,22/23,summer,Pablo Pagis,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€200k,16662,False,,3,3.822,1.606,,0.111,,2.105
Ligue 1,FC Lorient,22/23,summer,Bamo Meïté,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€100k,16662,False,,3,5.11,2.875,,-0.133,,2.368
Ligue 1,FC Lorient,22/23,winter,Jean-Victor Makengo,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€11.0m,€7.5m,Udinese Calcio,False,,3,1.7,2.554,,-0.332,-0.5,-0.022
Ligue 1,FC Lorient,22/23,winter,Bamba Dieng,CF,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€7.0m,€8.0m,Olympique Marseille,False,,3,2.201,2.25,,,0.245,-0.294
Ligue 1,FC Lorient,22/23,winter,Joel Mvuka,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.5m,€1.3m,501,False,,2,2.219,1.043,,,-0.588,1.765
Ligue 1,FC Lorient,22/23,winter,Romain Faivre,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.0m,€10.0m,Olympique Lyon,False,,2,3.914,3.037,,0.128,0.5,0.25
Ligue 1,FC Lorient,23/24,summer,Isaak Touré,CB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€8.0m,€6.0m,Olympique Marseille,False,,2,1.956,2.888,,,-0.588,-0.343
Ligue 1,FC Lorient,23/24,summer,Formose Mendy,CB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€7.5m,€3.0m,Amiens SC,False,,2,1.6,1.639,,-0.039,-0.5,0.5
Ligue 1,FC Lorient,23/24,summer,Aiyegun Tosin,CF,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€4.0m,€3.2m,260,False,,2,1.367,2.324,,-0.321,-0.417,-0.219
Ligue 1,FC Lorient,23/24,summer,Dembo Sylla,RB,starter,2.0,improves_problem|replaces_sold,€1.0m,€600k,1080,False,,1,0.0,0.106,,-0.765,-0.5,0.167
Ligue 1,FC Lorient,23/24,summer,Benjamin Mendy,LB,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,,Manchester City,False,,1,1.594,2.089,,-0.495,,
Ligue 1,FC Lorient,23/24,summer,Tiemoué Bakayoko,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€2.5m,Chelsea FC,False,,1,3.092,3.108,,-0.317,0.5,-0.2
Ligue 1,FC Lorient,23/24,summer,Dominique Youfeigane,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€300k,EA Guingamp,False,,1,0.0,0.0,,,0.588,-0.588
Ligue 1,FC Lorient,23/24,summer,Junior Kroupi,CF,starter,2.0,addresses_problem|replaces_sold,,€400k,16662,False,,1,5.99,3.177,,,,2.812
Ligue 1,FC Lorient,23/24,winter,Mohamed Bamba,CF,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€5.0m,€1.2m,4441,False,,2,3.016,2.155,,-0.118,-0.5,1.479
Ligue 1,FC Lorient,23/24,winter,Panos Katseris,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€2.4m,€500k,4097,False,,2,3.059,2.118,,-0.247,-0.5,1.688
Ligue 1,FC Lorient,23/24,winter,Badredine Bouanani,W,starter,2.0,addresses_problem|replaces_sold,€1.0m,€6.0m,OGC Nice,False,,1,1.245,1.036,,-0.124,0.5,-0.167
Ligue 1,FC Lorient,25/26,summer,Arsène Kouassi,LB,starter,2.0,replaces_sold,€1.2m,€1.5m,AC Ajaccio,False,,1,8.655,6.165,,0.282,0.333,1.875
Ligue 1,FC Lorient,25/26,summer,Noah Cadiou,MID,starter,2.0,replaces_sold,€1.0m,€1.2m,11273,False,,1,5.851,4.421,,0.069,0.278,1.083
Ligue 1,FC Lorient,25/26,summer,Bingourou Kamara,GK,rotation,1.0,rotation_option,€0,€800k,3166,False,,1,3.536,1.434,,0.29,0.5,1.312
Ligue 1,Nîmes Olympique,19/20,summer,Lamine Fomba,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€4.0m,€2.5m,AJ Auxerre,False,,2,3.794,4.266,,-0.392,-0.5,0.42
Ligue 1,Nîmes Olympique,19/20,summer,Sidy Sarr,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€2.0m,€600k,1175,False,,2,2.982,2.15,,-0.167,-0.5,1.5
Ligue 1,Nîmes Olympique,19/20,summer,Lucas Deaux,MID,starter,2.0,addresses_problem|replaces_sold,€1.0m,€2.5m,EA Guingamp,False,,2,3.72,3.769,,-0.07,0.5,-0.48
Ligue 1,Nîmes Olympique,19/20,summer,Haris Duljevic,W,starter,2.0,improves_problem|replaces_sold,€1.0m,€800k,129,False,,2,0.982,1.547,,-0.149,-0.417,0.0
Ligue 1,Nîmes Olympique,19/20,summer,Romain Philippoteaux,W,starter,2.0,improves_problem|replaces_sold|rotation_option,€300k,€1.0m,AJ Auxerre,True,€500k,1,5.993,5.294,0.889,-0.123,0.0,-0.067
Ligue 1,Nîmes Olympique,19/20,summer,Vlatko Stojanovski,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€300k,€500k,10791,False,,1,0.164,0.341,,-0.477,0.5,-0.2
Ligue 1,Nîmes Olympique,19/20,summer,Pablo Martínez,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€3.5m,RC Strasbourg Alsace,False,,2,3.822,3.822,,-0.001,0.5,-0.5
Ligue 1,Nîmes Olympique,19/20,summer,Zinedine Ferhat,W,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€2.0m,Le Havre AC,False,,2,8.166,6.348,,0.368,0.5,0.95
Ligue 1,Nîmes Olympique,19/20,winter,Moussa Koné,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€1.2m,€3.5m,129,False,,2,2.316,2.059,,-0.214,0.5,-0.029
Ligue 1,Nîmes Olympique,19/20,winter,Nolan Roux,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€1.5m,EA Guingamp,False,,2,1.471,1.527,,-0.222,0.5,-0.333
Ligue 1,Nîmes Olympique,20/21,summer,Niclas Eliasson,W,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€3.0m,€4.0m,698,False,,1,9.542,6.5,,1.5,0.417,1.125
Ligue 1,Nîmes Olympique,20/21,summer,Andrés Cubas,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.9m,€3.2m,3938,False,,1,4.862,4.756,,-0.144,0.156,0.094
Ligue 1,Nîmes Olympique,20/21,summer,Patrick Burner,RB,starter,2.0,addresses_problem|improves_problem|significant_outlay,€1.5m,€3.2m,OGC Nice,False,,1,2.455,2.773,,-0.442,0.5,-0.375
Ligue 1,Nîmes Olympique,20/21,summer,Yassine Benrahou,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.5m,€2.7m,FC Girondins Bordeaux,False,,1,2.682,2.625,,-0.369,0.5,-0.074
Ligue 1,Nîmes Olympique,20/21,summer,Birger Meling,LB,starter,2.0,improves_problem|replaces_sold,€1.0m,€1.2m,195,False,,1,6.9,4.918,,0.204,0.278,1.5
Ligue 1,Nîmes Olympique,20/21,summer,Karim Aribi,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€1.0m,€475k,250,False,,1,0.206,0.604,,-0.582,-0.5,0.684
Ligue 1,Nîmes Olympique,20/21,summer,Baptiste Reynet,GK,starter,2.0,improves_problem|replaces_sold|rotation_option,€350k,€2.4m,FC Toulouse,False,,1,6.959,6.5,,0.126,0.5,-0.167
Serie A,AS Roma,19/20,summer,Bryan Cristante,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€30.6m,€25.0m,Atalanta BC,False,,7,4.711,5.304,,0.14,-0.373,-0.36
Serie A,AS Roma,19/20,summer,Leonardo Spinazzola,LB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€29.5m,€15.0m,Juventus FC,True,€0,5,5.646,4.867,0.0,0.89,-0.5,0.39
Serie A,AS Roma,19/20,summer,Pau López,GK,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€23.5m,€20.0m,Real Betis Balompié,True,€12.0m,2,3.631,4.577,-0.652,-0.056,-0.146,-0.092
Serie A,AS Roma,19/20,summer,Amadou Diawara,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€21.0m,€15.0m,SSC Napoli,True,€1.9m,3,0.0,1.525,-1.213,-0.144,-0.5,-0.048
Serie A,AS Roma,19/20,summer,Mert Çetin,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€4.3m,€250k,820,True,€7.8m,1,4.434,1.118,2.0,0.691,0.0,0.625
Serie A,AS Roma,19/20,summer,Henrikh Mkhitaryan,MID,starter,2.0,addresses_problem|replaces_sold,€3.1m,€25.0m,Arsenal FC,True,€0,3,3.271,4.407,-1.333,0.34,0.0,-0.142
Serie A,AS Roma,19/20,summer,Chris Smalling,CB,rotation,1.0,replaces_sold|rotation_option,€3.0m,€20.0m,Manchester United,True,€800k,5,6.642,4.916,0.533,0.96,0.0,0.233
Serie A,AS Roma,19/20,summer,Gianluca Mancini,CB,rotation,1.0,replaces_sold|rotation_option,€2.0m,€22.0m,Atalanta BC,False,,7,9.815,6.5,,1.5,0.5,1.315
Serie A,AS Roma,19/20,summer,Nikola Kalinić,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€2.0m,€10.0m,Atlético de Madrid,False,,1,1.267,1.216,,-0.129,0.5,-0.32
Serie A,AS Roma,19/20,summer,Jordan Veretout,MID,starter,2.0,addresses_problem|replaces_sold,€1.0m,€20.0m,ACF Fiorentina,True,€12.4m,3,7.791,4.566,3.0,0.143,0.027,0.056
Serie A,AS Roma,19/20,winter,Gonzalo Villar,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€5.0m,€700k,Elche CF,True,€1.8m,3,0.432,1.4,-0.853,-0.24,-0.5,0.625
Serie A,AS Roma,19/20,winter,Carles Pérez,W,starter,2.0,addresses_problem|replaces_sold,€1.0m,€10.0m,FC Barcelona,True,€5.2m,3,3.775,1.212,2.5,-0.143,0.283,-0.078
Serie A,AS Roma,20/21,summer,Gianluca Mancini,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€24.0m,€22.0m,Atalanta BC,False,,6,9.133,6.5,,1.5,-0.152,1.284
Serie A,AS Roma,20/21,summer,Jordan Veretout,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€17.5m,€24.0m,ACF Fiorentina,True,€12.4m,2,4.066,4.28,-0.385,0.155,0.003,0.014
Serie A,AS Roma,20/21,summer,Chris Smalling,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€15.0m,€20.0m,Manchester United,True,€800k,4,5.851,4.645,0.107,0.95,-0.042,0.191
Serie A,AS Roma,20/21,summer,Carles Pérez,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€13.0m,€9.0m,FC Barcelona,True,€5.2m,2,0.008,1.27,-0.8,-0.171,-0.217,-0.074
Serie A,AS Roma,20/21,summer,Marash Kumbulla,CB,rotation,1.0,replaces_sold|rotation_option,€3.0m,€25.0m,Hellas Verona,False,,4,5.563,3.153,,1.108,0.5,0.802
Serie A,AS Roma,20/21,summer,Borja Mayoral,CF,rotation,1.0,replaces_sold|rotation_option,€2.5m,€10.0m,Real Madrid,False,,2,6.51,3.471,,1.114,0.5,1.425
Serie A,AS Roma,20/21,summer,Henrikh Mkhitaryan,MID,starter,2.0,addresses_problem|replaces_sold,€0,€20.0m,Arsenal FC,True,€0,2,4.035,5.116,-1.333,0.395,0.0,-0.142
Serie A,AS Roma,20/21,summer,Pedro,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€9.5m,Chelsea FC,True,€0,1,1.633,3.119,-1.333,0.005,0.0,-0.158
Serie A,AS Roma,20/21,summer,Alessio Riccardi,MID,starter,2.0,addresses_problem|replaces_sold,,€1.2m,11997,True,€0,1,0.0,0.0,-1.569,,-0.588,
Serie A,AS Roma,20/21,summer,William Bianda,CB,rotation,1.0,replaces_sold|rotation_option,,€1.0m,11997,True,,1,0.154,0.0,,,,0.154
Serie A,AS Roma,20/21,summer,Ludovico D'Orazio,CF,rotation,1.0,replaces_sold|rotation_option,,€125k,11997,True,€70k,1,0.729,0.0,1.318,,-0.588,
Serie A,AS Roma,20/21,summer,Simone Farelli,GK,starter,2.0,improves_problem|replaces_sold|rotation_option,,€50k,515,True,,1,0.0,0.0,,,,0.0
Serie A,AS Roma,20/21,winter,Bryan Reynolds,RB,starter,2.0,addresses_problem|replaces_sold,€100k,€6.0m,8816,True,€3.3m,2,2.687,0.279,3.0,-0.633,0.11,-0.069
Serie A,AS Roma,20/21,winter,Stephan El Shaarawy,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€8.0m,3183,False,,6,2.35,2.332,,-0.084,0.5,-0.398
Serie A,AS Roma,21/22,summer,Tammy Abraham,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€41.0m,€38.0m,Chelsea FC,True,€15.0m,4,1.755,2.695,-0.846,-0.051,-0.006,-0.037
Serie A,AS Roma,21/22,summer,Marash Kumbulla,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€26.5m,€25.0m,Hellas Verona,False,,3,3.601,2.042,,1.089,-0.1,0.57
Serie A,AS Roma,21/22,summer,Eldor Shomurodov,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€19.8m,€7.0m,Genoa CFC,False,,3,0.509,1.39,,-0.286,-0.5,-0.095
Serie A,AS Roma,21/22,summer,Matías Viña,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€13.0m,€5.0m,1023,True,€8.1m,2,1.016,1.577,-0.503,-0.002,-0.24,0.183
Serie A,AS Roma,21/22,summer,Roger Ibañez,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€11.8m,€25.0m,Atalanta BC,True,€28.5m,2,9.688,6.0,2.0,1.0,0.208,0.48
Serie A,AS Roma,21/22,summer,Rui Patrício,GK,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€11.8m,€10.0m,Wolverhampton Wanderers,True,€0,3,3.302,5.345,-1.333,-0.109,-0.4,-0.2
Serie A,AS Roma,21/22,summer,Bryan Reynolds,RB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€6.8m,€6.0m,8816,True,€3.3m,1,0.011,0.004,0.972,-1.0,-0.258,0.292
Serie A,AS Roma,21/22,summer,Ebrima Darboe,MID,starter,2.0,addresses_problem|replaces_sold,,€2.0m,11997,True,,2,0.0,0.083,,-0.243,,-0.022
Serie A,AS Roma,21/22,summer,Nicola Zalewski,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€900k,11997,True,€8.0m,4,4.811,2.192,2.5,-0.131,-0.5,0.75
Serie A,AS Roma,21/22,summer,Ruben Providence,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€350k,11997,True,€500k,1,0.345,0.0,0.672,,-0.327,
Serie A,AS Roma,21/22,summer,Filippo Tripi,MID,starter,2.0,addresses_problem|replaces_sold,,€300k,11997,True,€0,2,0.0,0.0,-1.481,,-0.556,0.0
Serie A,AS Roma,21/22,summer,Riccardo Ciervo,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€300k,11997,True,€2.0m,1,2.823,0.0,2.632,-0.335,0.526,
Serie A,AS Roma,21/22,summer,Edoardo Bove,MID,starter,2.0,addresses_problem|replaces_sold,,€300k,11997,True,€0,4,0.143,1.378,-1.333,-0.089,-0.5,0.688
Serie A,AS Roma,21/22,summer,Pietro Boer,GK,starter,2.0,addresses_problem|replaces_sold,,€150k,11997,True,,3,0.0,0.0,,,,0.0
Serie A,AS Roma,21/22,winter,Sérgio Oliveira,MID,starter,2.0,addresses_problem|replaces_sold,€1.0m,€15.0m,FC Porto,False,,1,2.444,1.907,,0.237,0.5,-0.2
Serie A,AS Roma,21/22,winter,Ainsley Maitland-Niles,RB,rotation,1.0,replaces_sold|rotation_option,€500k,€12.0m,Arsenal FC,False,,1,5.501,2.342,,1.409,0.5,1.25
Serie A,AS Roma,21/22,winter,Filippo Tripi,MID,starter,2.0,addresses_problem|replaces_sold,,€300k,11997,True,€0,2,0.0,0.0,-1.481,,-0.556,0.0
Serie A,AS Roma,22/23,summer,Zeki Çelik,RB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€7.4m,€18.0m,LOSC Lille,False,,4,8.388,5.663,,1.476,0.5,0.75
Serie A,AS Roma,22/23,summer,Mady Camara,MID,rotation,1.0,replaces_sold|rotation_option,€1.5m,€11.0m,683,False,,1,6.353,3.317,,1.173,0.5,1.364
Serie A,AS Roma,22/23,summer,Paulo Dybala,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€35.0m,Juventus FC,False,,4,4.078,3.432,,0.696,0.5,-0.55
Serie A,AS Roma,22/23,summer,Andrea Belotti,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€20.0m,Torino FC,True,€4.1m,2,0.441,1.764,-1.06,-0.138,0.1,-0.225
Serie A,AS Roma,22/23,summer,Nemanja Matić,MID,rotation,1.0,replaces_sold|rotation_option,€0,€5.0m,Manchester United,True,€2.5m,1,8.4,6.0,1.0,1.0,0.0,0.4
Serie A,AS Roma,22/23,summer,Mile Svilar,GK,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,SL Benfica,False,,4,8.866,5.174,,1.411,0.5,1.781
Serie A,AS Roma,22/23,summer,Cristian Volpato,MID,rotation,1.0,replaces_sold|rotation_option,,€900k,11997,True,€7.5m,1,5.478,0.978,2.5,1.0,0.5,0.5
Serie A,AS Roma,22/23,winter,Diego Llorente,CB,rotation,1.0,rotation_option,€500k,€12.0m,Leeds United,False,,2,7.731,4.614,,1.43,0.5,1.188
Serie A,AS Roma,22/23,winter,Ola Solbakken,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€3.5m,501,True,€950k,2,0.0,0.514,-0.971,-0.279,0.0,-0.048
Serie A,AS Roma,22/23,winter,Cristian Volpato,MID,rotation,1.0,replaces_sold|rotation_option,,€900k,11997,True,€7.5m,1,5.478,0.978,2.5,1.0,0.5,0.5
Serie A,AS Roma,22/23,winter,Benjamin Tahirović,MID,rotation,1.0,replaces_sold|rotation_option,,€250k,11997,True,€7.5m,1,6.431,1.544,3.0,0.762,0.5,0.625
Serie A,AS Roma,23/24,summer,Romelu Lukaku,CF,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€5.8m,€40.0m,Chelsea FC,False,,1,5.995,5.583,,0.162,0.5,-0.25
Serie A,AS Roma,23/24,summer,Leandro Paredes,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€5.7m,€12.0m,Paris Saint-Germain,True,€3.0m,2,3.408,3.913,-0.625,0.272,0.0,-0.153
Serie A,AS Roma,23/24,summer,Renato Sanches,MID,starter,2.0,addresses_problem|replaces_sold,€1.0m,€15.0m,Paris Saint-Germain,False,,1,0.0,0.3,,-0.632,0.5,-0.567
Serie A,AS Roma,23/24,summer,Evan Ndicka,CB,rotation,1.0,replaces_sold|rotation_option,€0,€28.0m,Eintracht Frankfurt,False,,3,9.946,6.5,,1.5,0.5,1.446
Serie A,AS Roma,23/24,summer,Houssem Aouar,MID,starter,2.0,addresses_problem|replaces_sold,€0,€13.0m,Olympique Lyon,True,€10.5m,1,1.358,1.511,-0.256,-0.111,0.292,-0.077
Serie A,AS Roma,23/24,winter,Tommaso Baldanzi,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€11.5m,€15.0m,FC Empoli,False,,3,1.203,1.192,,-0.278,0.389,-0.1
Serie A,AS Roma,23/24,winter,Dean Huijsen,CB,rotation,1.0,replaces_sold|rotation_option,€650k,€2.5m,Juventus FC,False,,1,5.617,2.476,,1.142,0.5,1.5
Serie A,AS Roma,24/25,summer,Artem Dovbyk,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€41.1m,€35.0m,Girona FC,False,,2,6.247,4.167,,1.406,-0.29,0.964
Serie A,AS Roma,24/25,summer,Matías Soulé,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€28.6m,€25.0m,Juventus FC,False,,2,4.582,4.175,,0.347,-0.24,0.3
Serie A,AS Roma,24/25,summer,Enzo Le Fée,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€23.0m,€18.0m,Stade Rennais FC,True,€23.8m,1,0.74,0.622,0.043,0.056,0.019,0.0
Serie A,AS Roma,24/25,summer,Manu Koné,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€18.0m,€20.0m,Borussia Mönchengladbach,False,,2,6.866,5.318,,0.131,0.167,1.25
Serie A,AS Roma,24/25,summer,Samuel Dahl,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.7m,€3.0m,1044,True,€8.6m,1,0.611,0.08,0.677,-0.525,-0.065,0.444
Serie A,AS Roma,24/25,summer,Angeliño,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.4m,€8.0m,RB Leipzig,False,,2,4.838,3.692,,0.115,0.5,0.531
Serie A,AS Roma,24/25,summer,Saud Abdulhamid,RB,starter,2.0,addresses_problem|replaces_sold,€2.5m,€4.0m,1114,False,,1,0.632,0.433,,-0.051,0.5,-0.25
Serie A,AS Roma,24/25,summer,Buba Sangaré,RB,starter,2.0,addresses_problem|replaces_sold,€1.5m,€1.0m,12798,False,,2,0.0,0.0,,,-0.588,0.0
Serie A,AS Roma,24/25,summer,Mathew Ryan,GK,starter,2.0,addresses_problem|replaces_sold,€0,€3.5m,AZ Alkmaar,True,€750k,1,0.0,0.0,-1.164,,0.0,-0.106
Serie A,AS Roma,24/25,summer,Mario Hermoso,CB,rotation,1.0,replaces_sold|rotation_option,,€25.0m,515,False,,2,5.731,4.036,,1.253,,0.442
Serie A,AS Roma,24/25,summer,Mats Hummels,CB,rotation,1.0,replaces_sold|rotation_option,,€5.0m,515,True,,1,6.968,5.368,,1.333,,0.267
Serie A,AS Roma,24/25,summer,Niccolò Pisilli,MID,starter,2.0,addresses_problem|replaces_sold,,€3.5m,11997,False,,2,4.333,2.782,,-0.225,,1.776
Serie A,AS Roma,24/25,summer,Riccardo Pagano,MID,starter,2.0,addresses_problem|replaces_sold,,€2.5m,11997,False,,1,0.0,0.0,,,,
Serie A,AS Roma,24/25,summer,João Costa,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€1.0m,11997,True,€9.0m,1,3.889,0.0,2.778,,0.556,0.556
Serie A,AS Roma,24/25,summer,Renato Marin,GK,starter,2.0,addresses_problem|replaces_sold,,€500k,11997,True,€0,1,0.0,0.0,-1.481,,-0.556,0.0
Serie A,AS Roma,24/25,winter,Anass Salah-Eddine,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€8.5m,€5.0m,FC Twente Enschede,False,,1,0.0,0.323,,-0.637,-0.5,0.6
Serie A,AS Roma,24/25,winter,Devyne Rensch,RB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€6.0m,€12.0m,Ajax Amsterdam,False,,2,2.179,1.735,,0.173,0.5,-0.229
Serie A,AS Roma,24/25,winter,Pierluigi Gollini,GK,starter,2.0,addresses_problem|replaces_sold,€800k,€2.5m,Atalanta BC,False,,2,0.0,0.0,,-0.354,0.5,-0.64
Serie A,AS Roma,24/25,winter,Victor Nelsson,CB,rotation,1.0,replaces_sold|rotation_option,€500k,€14.0m,141,False,,1,3.946,0.879,,1.496,0.5,1.071
Serie A,AS Roma,25/26,summer,Wesley,RB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€25.0m,€20.0m,614,False,,1,9.083,6.5,,1.5,-0.417,1.5
Serie A,AS Roma,25/26,summer,Neil El Aynaoui,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€23.5m,€15.0m,RC Lens,False,,1,1.93,2.093,,-0.196,-0.5,0.533
Serie A,AS Roma,25/26,summer,Jan Ziolkowski,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€6.6m,€4.0m,255,False,,1,4.016,2.84,,,-0.588,1.765
Serie A,AS Roma,25/26,summer,Leon Bailey,W,starter,2.0,addresses_problem|replaces_sold,€3.0m,€28.0m,Aston Villa,False,,1,0.279,0.45,,-0.759,0.588,
Serie A,AS Roma,25/26,summer,Evan Ferguson,CF,rotation,1.0,replaces_sold|rotation_option,€3.0m,€25.0m,Brighton & Hove Albion,False,,1,6.64,3.687,,1.252,0.5,1.2
Serie A,AS Roma,25/26,summer,Daniele Ghilardi,CB,rotation,1.0,replaces_sold|rotation_option,€2.5m,€5.0m,Hellas Verona,False,,1,8.573,5.16,,1.413,0.5,1.5
Serie A,AS Roma,25/26,summer,Devis Vásquez,GK,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,AC Milan,False,,1,0.714,0.0,,,0.714,
Serie A,AS Roma,25/26,summer,Radoslaw Zelezny,GK,rotation,1.0,replaces_sold|rotation_option,€0,€175k,11008,False,,1,2.353,0.0,,,0.588,1.765
Serie A,AS Roma,25/26,summer,Mattia Mannini,RB,rotation,1.0,replaces_sold|rotation_option,,€1.0m,11997,False,,1,0.0,0.0,,,,
Serie A,AS Roma,25/26,winter,Robinio Vaz,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€22.0m,€10.0m,Olympique Marseille,False,,1,3.242,0.974,,1.267,-0.5,1.5
Serie A,AS Roma,25/26,winter,Donyell Malen,CF,rotation,1.0,replaces_sold|rotation_option,€2.0m,€25.0m,Aston Villa,False,,1,10.0,6.5,,1.5,0.5,1.5
Serie A,AS Roma,25/26,winter,Bryan Zaragoza,W,starter,2.0,addresses_problem|replaces_sold,€2.0m,€10.0m,Bayern Munich,False,,1,0.63,0.285,,0.045,0.5,-0.2
LaLiga,Girona FC,22/23,summer,Miguel Gutiérrez,LB,starter,2.0,replaces_sold|significant_outlay,€11.0m,€6.0m,Real Madrid,True,€18.0m,3,6.162,5.137,0.848,0.102,-0.333,0.407
LaLiga,Girona FC,22/23,summer,Oriol Romeu,MID,starter,2.0,replaces_sold|significant_outlay,€5.5m,€5.0m,Southampton FC,True,€3.4m,1,4.933,5.754,-0.509,0.021,-0.333,0.0
LaLiga,Girona FC,22/23,summer,Javi Hernández,LB,starter,2.0,replaces_sold,€500k,€2.5m,CD Leganés,False,,1,3.363,2.775,,,0.588,0.0
LaLiga,Girona FC,22/23,summer,Manu Vallejo,CF,rotation,1.0,replaces_sold|rotation_option,€0,€3.0m,Valencia CF,True,€0,2,1.624,0.445,0.0,0.854,0.0,0.325
LaLiga,Girona FC,22/23,summer,Toni Villa,W,rotation,1.0,replaces_sold|rotation_option,€0,€2.5m,Real Valladolid CF,True,€0,2,3.072,1.991,0.0,0.68,0.0,0.4
