league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Ligue 1,Paris FC,25/26,winter,Rudy Matondo,MID,starter,2.0,replaces_sold|significant_outlay,€15.0m,€3.0m,AJ Auxerre,False,,1,2.857,1.758,,-0.276,-0.5,1.875
Ligue 1,Paris FC,25/26,winter,Ciro Immobile,CF,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,Bologna FC 1909,False,,1,7.054,3.776,,1.278,0.5,1.5
Premier League,Leicester City,19/20,summer,Youri Tielemans,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€45.0m,€38.0m,AS Monaco,False,,4,5.839,5.753,,0.216,-0.307,0.178
Premier League,Leicester City,19/20,summer,Ayoze Pérez,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€33.4m,€20.0m,Newcastle United,False,,4,5.99,4.182,,1.295,-0.5,1.013
Premier League,Leicester City,19/20,summer,Dennis Praet,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€19.2m,€24.0m,UC Sampdoria,True,€0,4,0.0,1.216,-1.333,-0.279,-0.083,-0.135
Premier League,Leicester City,19/20,summer,James Justin,RB,rotation,1.0,replaces_sold|rotation_option,€6.7m,,Luton Town,False,,5,8.92,7.124,,1.796,,
Premier League,Leicester City,19/20,summer,Callum Hulme,MID,starter,2.0,addresses_problem|replaces_sold,€0,,2413,False,,1,0.0,0.0,,,,
Premier League,Leicester City,19/20,summer,George Hirst,CF,rotation,1.0,replaces_sold|rotation_option,,€500k,2727,False,,2,2.955,0.028,,1.427,,1.5
Premier League,Leicester City,20/21,summer,Wesley Fofana,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€35.0m,€10.0m,AS Saint-Étienne,True,€80.4m,2,7.882,4.382,2.0,1.0,0.0,0.5
Premier League,Leicester City,20/21,summer,Timothy Castagne,RB,rotation,1.0,significant_outlay|rotation_option,€20.9m,€18.0m,Atalanta BC,False,,3,9.175,6.5,,1.444,-0.269,1.5
Premier League,Leicester City,20/21,summer,Cengiz Ünder,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€3.5m,€23.0m,AS Roma,False,,1,0.578,0.581,,-0.285,0.5,-0.217
Premier League,Leicester City,20/21,summer,Daniel Iversen,GK,rotation,1.0,replaces_sold|rotation_option,,€400k,39341,False,,2,6.13,2.701,,1.258,,2.171
Premier League,Leicester City,21/22,summer,Patson Daka,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€30.0m,€22.0m,409,False,,3,6.665,4.848,,1.248,-0.5,1.068
Premier League,Leicester City,21/22,summer,Boubakary Soumaré,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€20.0m,€28.0m,LOSC Lille,False,,3,3.227,3.466,,-0.393,0.476,-0.321
Premier League,Leicester City,21/22,summer,Jannik Vestergaard,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€17.6m,€18.0m,Southampton FC,False,,3,4.85,3.06,,1.225,0.037,0.528
Premier League,Leicester City,21/22,summer,Ryan Bertrand,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€8.0m,Southampton FC,False,,2,0.0,0.357,,-0.58,0.5,-0.762
Premier League,Leicester City,21/22,summer,Kiernan Dewsbury-Hall,MID,starter,2.0,addresses_problem|replaces_sold,,€2.0m,39341,True,€35.4m,2,8.127,4.309,3.0,-0.107,0.3,0.625
Premier League,Leicester City,22/23,summer,Wout Faes,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€17.0m,€10.0m,Stade Reims,False,,2,6.074,5.912,,-0.088,-0.5,0.75
Premier League,Leicester City,22/23,summer,Alex Smithies,GK,rotation,1.0,replaces_sold|rotation_option,€0,€800k,Cardiff City,False,,1,1.691,0.0,,,0.588,1.103
Premier League,Leicester City,22/23,winter,Harry Souttar,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€17.0m,€6.0m,Stoke City,False,,2,1.169,1.046,,-0.127,-0.5,0.75
Premier League,Leicester City,22/23,winter,Victor Kristiansen,LB,starter,2.0,addresses_problem|improves_problem|significant_outlay,€14.0m,€4.0m,190,False,,2,4.352,3.572,,-0.22,-0.5,1.5
Premier League,Leicester City,22/23,winter,Tetê,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.0m,€25.0m,Olympique Lyon,False,,1,1.725,1.558,,-0.333,0.5,0.0
Premier League,Leicester City,24/25,summer,Oliver Skipp,MID,starter,2.0,replaces_sold|significant_outlay,€23.5m,€15.0m,Tottenham Hotspur,False,,1,0.962,2.369,,-0.575,-0.5,-0.333
Premier League,Leicester City,24/25,summer,Bilal El Khannouss,MID,starter,2.0,replaces_sold|significant_outlay,€22.5m,€30.0m,1184,False,,1,4.895,4.64,,-0.094,0.417,-0.067
Premier League,Leicester City,24/25,summer,Abdul Fatawu,W,starter,2.0,replaces_sold|significant_outlay,€16.2m,€10.0m,Sporting CP,False,,1,0.963,1.434,,,-0.588,0.118
Premier League,Leicester City,24/25,summer,Caleb Okoli,CB,starter,2.0,replaces_sold|significant_outlay,€14.0m,€8.0m,Atalanta BC,False,,1,1.836,2.374,,-0.288,-0.5,0.25
Premier League,Leicester City,24/25,summer,Jordan Ayew,CF,starter,2.0,replaces_sold,€5.9m,€4.0m,Crystal Palace,False,,1,2.263,3.47,,-0.332,-0.5,-0.375
Premier League,Leicester City,24/25,summer,Michael Golding,MID,starter,2.0,replaces_sold,€5.9m,€300k,9250,False,,1,0.0,0.002,,-1.5,-0.5,1.875
Premier League,Leicester City,24/25,summer,Bobby De Cordova-Reid,MID,rotation,1.0,replaces_sold|rotation_option,€0,€5.0m,Fulham FC,False,,1,5.636,3.521,,0.865,0.5,0.75
Premier League,Leicester City,24/25,winter,Woyo Coulibaly,RB,rotation,1.0,rotation_option,€2.0m,€2.0m,Parma Calcio 1913,False,,1,3.117,0.508,,1.108,0.0,1.5
Serie A,US Lecce,19/20,summer,Romario Benzar,RB,starter,2.0,replaces_sold|significant_outlay,€1.7m,€2.5m,301,True,€0,1,0.0,0.193,-1.333,-0.166,0.0,-0.147
Serie A,US Lecce,19/20,summer,Diego Farias,W,starter,2.0,replaces_sold|significant_outlay,€1.1m,€4.5m,Cagliari Calcio,False,,1,1.726,1.725,,-0.278,0.5,-0.222
Serie A,US Lecce,19/20,summer,Khouma Babacar,CF,starter,2.0,replaces_sold|significant_outlay,€1.0m,€8.0m,US Sassuolo,False,,1,2.827,3.016,,-0.339,0.5,-0.35
Serie A,US Lecce,19/20,summer,Brayan Vera,CB,starter,2.0,replaces_sold|significant_outlay,€800k,€100k,10136,True,€300k,1,0.0,0.29,-0.833,-0.309,-0.5,0.5
Serie A,US Lecce,19/20,summer,Panagiotis Tachtsidis,MID,starter,2.0,replaces_sold,€500k,€1.2m,Nottingham Forest,False,,1,4.312,4.23,,-0.21,0.5,-0.208
